LOCATION,Country,SECTOR,Sector / Industry,RESTYPE,Type of restriction,SERIES,Series2,TIME,Year,Value,Flag Codes,Flags
AUS,Australia,8,Manufacturing,V,All types of restrictions,INDEX,Index total,2017,2017,0.08,,
AUS,Australia,8,Manufacturing,V,All types of restrictions,INDEX,Index total,2018,2018,0.08,,
AUS,Australia,9,Food and other,V,All types of restrictions,INDEX,Index total,1997,1997,0.2,,
AUS,Australia,9,Food and other,V,All types of restrictions,INDEX,Index total,2003,2003,0.175,,
AUS,Australia,9,Food and other,V,All types of restrictions,INDEX,Index total,2006,2006,0.175,,
AUS,Australia,9,Food and other,V,All types of restrictions,INDEX,Index total,2010,2010,0.075,,
AUS,Australia,9,Food and other,V,All types of restrictions,INDEX,Index total,2011,2011,0.075,,
AUS,Australia,9,Food and other,V,All types of restrictions,INDEX,Index total,2012,2012,0.075,,
AUS,Australia,9,Food and other,V,All types of restrictions,INDEX,Index total,2013,2013,0.075,,
AUS,Australia,9,Food and other,V,All types of restrictions,INDEX,Index total,2014,2014,0.075,,
AUS,Australia,9,Food and other,V,All types of restrictions,INDEX,Index total,2015,2015,0.1,,
AUS,Australia,9,Food and other,V,All types of restrictions,INDEX,Index total,2016,2016,0.1,,
AUS,Australia,9,Food and other,V,All types of restrictions,INDEX,Index total,2017,2017,0.1,,
AUS,Australia,9,Food and other,V,All types of restrictions,INDEX,Index total,2018,2018,0.1,,
AUS,Australia,10,Oil ref. & Chemicals,V,All types of restrictions,INDEX,Index total,1997,1997,0.2,,
AUS,Australia,10,Oil ref. & Chemicals,V,All types of restrictions,INDEX,Index total,2003,2003,0.175,,
AUS,Australia,10,Oil ref. & Chemicals,V,All types of restrictions,INDEX,Index total,2006,2006,0.175,,
AUS,Australia,10,Oil ref. & Chemicals,V,All types of restrictions,INDEX,Index total,2010,2010,0.075,,
AUS,Australia,10,Oil ref. & Chemicals,V,All types of restrictions,INDEX,Index total,2011,2011,0.075,,
AUS,Australia,10,Oil ref. & Chemicals,V,All types of restrictions,INDEX,Index total,2012,2012,0.075,,
AUS,Australia,10,Oil ref. & Chemicals,V,All types of restrictions,INDEX,Index total,2013,2013,0.075,,
AUS,Australia,10,Oil ref. & Chemicals,V,All types of restrictions,INDEX,Index total,2014,2014,0.075,,
AUS,Australia,10,Oil ref. & Chemicals,V,All types of restrictions,INDEX,Index total,2015,2015,0.075,,
AUS,Australia,10,Oil ref. & Chemicals,V,All types of restrictions,INDEX,Index total,2016,2016,0.075,,
AUS,Australia,10,Oil ref. & Chemicals,V,All types of restrictions,INDEX,Index total,2017,2017,0.075,,
AUS,Australia,10,Oil ref. & Chemicals,V,All types of restrictions,INDEX,Index total,2018,2018,0.075,,
AUS,Australia,11,"Metals, machinery and other minerals",V,All types of restrictions,INDEX,Index total,1997,1997,0.2,,
AUS,Australia,11,"Metals, machinery and other minerals",V,All types of restrictions,INDEX,Index total,2003,2003,0.175,,
AUS,Australia,11,"Metals, machinery and other minerals",V,All types of restrictions,INDEX,Index total,2006,2006,0.175,,
AUS,Australia,11,"Metals, machinery and other minerals",V,All types of restrictions,INDEX,Index total,2010,2010,0.075,,
AUS,Australia,11,"Metals, machinery and other minerals",V,All types of restrictions,INDEX,Index total,2011,2011,0.075,,
AUS,Australia,11,"Metals, machinery and other minerals",V,All types of restrictions,INDEX,Index total,2012,2012,0.075,,
AUS,Australia,11,"Metals, machinery and other minerals",V,All types of restrictions,INDEX,Index total,2013,2013,0.075,,
